Time (seconds),Time (steps),Torque (N·m)
1.8792000000000102,261,49.643
1.8864000000000103,262,53.77
1.8936000000000104,263,57.388
1.9008000000000105,264,61.302
1.9080000000000106,265,64.942
1.9152000000000107,266,68.549
1.9224000000000108,267,72.382
1.9296000000000109,268,75.854
1.936800000000011,269,79.783
1.944000000000011,270,83.214
1.9512000000000111,271,86.866
1.9584000000000112,272,90.153
1.9656000000000113,273,93.316
1.9728000000000114,274,97.068
1.9800000000000115,275,100.225
1.9872000000000116,276,102.148
1.9944000000000117,277,105.379
2.001600000000012,278,109.576
2.008800000000012,279,111.817
2.016000000000012,280,113.718
2.023200000000012,281,117.385
2.030400000000012,282,120.697
2.0376000000000123,283,122.033
2.0448000000000124,284,125.611
2.0520000000000125,285,125.071
2.0592000000000126,286,126.346
2.0664000000000127,287,130.396
2.0736000000000128,288,132.185
2.080800000000013,289,131.94
2.088000000000013,290,132.365
2.095200000000013,291,137.834
2.102400000000013,292,137.815
2.1096000000000132,293,138.175
2.1168000000000133,294,140.22
2.1240000000000134,295,136.987
2.1312000000000135,296,139.653
2.1384000000000136,297,137.717
2.1456000000000137,298,135.644
2.152800000000014,299,139.251
2.160000000000014,300,139.821
2.167200000000014,301,139.2
2.174400000000014,302,135.279
2.181600000000014,303,133.797
2.1888000000000143,304,132.283
2.1960000000000144,305,131.739
2.2032000000000145,306,131.59
2.2104000000000146,307,126.513
2.2176000000000147,308,119.963
2.2248000000000148,309,122.603
2.232000000000015,310,119.878
2.239200000000015,311,110.647
2.246400000000015,312,105.387
2.253600000000015,313,104.158
2.2608000000000152,314,96.517
2.2680000000000153,315,91.661
2.2752000000000154,316,86.4
2.2824000000000155,317,80.915
2.2896000000000156,318,83.542
2.2968000000000157,319,75.812
2.304000000000016,320,67.559
2.311200000000016,321,58.984
2.318400000000016,322,50.429
2.325600000000016,323,46.728
2.332800000000016,324,39.991
2.3400000000000163,325,24.098
2.3472000000000164,326,19.531
2.3544000000000165,327,16.073
2.3616000000000166,328,4.913
2.3688000000000167,329,-3.156
2.3760000000000168,330,-22.995
2.383200000000017,331,-27.511
2.390400000000017,332,-44.487
2.397600000000017,333,-52.531
2.404800000000017,334,-60.125
2.4120000000000172,335,-76.187
2.4192000000000173,336,-91.691
2.4264000000000174,337,-98.265
2.4336000000000175,338,-116.524
2.4408000000000176,339,-128.411
2.4480000000000177,340,-135.263
2.455200000000018,341,-149.011
2.462400000000018,342,-172.767
2.469600000000018,343,-189.06
2.476800000000018,344,-196.361
2.484000000000018,345,-210.96
2.4912000000000183,346,-236.089
2.4984000000000184,347,-252.551
2.5056000000000185,348,-256.834
2.5128000000000186,349,-286.483
2.5200000000000187,350,-303.907
2.5272000000000188,351,-311.445
2.534400000000019,352,-326.337
2.541600000000019,353,-345.477
2.548800000000019,354,-368.201
2.556000000000019,355,-382.235
2.5632000000000192,356,-415.245
2.5704000000000193,357,-420.763
2.5776000000000194,358,-444.183
2.5848000000000195,359,-474.923
2.5920000000000196,360,-487.587
